Score,EFA_1,EFA_2,EFA_3,EFA_4
25,97.17820827,64.54722959,70.36578594,7.276300636
50,96.24472949,17.71106794,47.41738291,82.18600593
50,25.17822958,94.04585844,9.783416065,70.62422272
47,49.72485059,95.3928577,49.16158751,8.134878064
50,30.08783098,91.48643902,47.34717708,8.483771409
2,28.48404944,37.01587003,17.32018699,98.66395785
3,3.688694735,1.545661653,43.38516492,37.42707958
24,60.9564334,92.83185626,39.85047344,37.06421471
22,50.26790232,42.81841483,61.58500981,81.27995673
11,5.147875125,96.6654819,63.50936509,94.72485774
48,27.86464642,96.36199771,4.530400977,98.60010638
50,90.8265886,85.30094555,37.46126146,75.33781853
6,23.95618907,29.44488921,62.58599157,37.62595855
2,14.48948721,38.50977286,50.31362586,8.35007167
30,48.94527603,85.11366715,85.64898412,77.71469159
27,98.56504541,31.69220052,65.86936316,55.84042497
24,24.20552715,16.94927467,16.29344271,42.42220092
29,67.21355474,55.68012625,7.05687474,90.63543851
14,76.16196153,93.61547742,64.24192782,11.11974823
4,23.7637544,69.60297967,2.651131054,49.26251043
40,72.82163486,57.00611701,58.57755813,1.135364477
14,36.77831327,9.717649377,94.02302414,46.8660642
31,63.23058306,61.50072267,57.54741779,5.630327568
25,63.35297108,99.00538501,38.81699262,11.88179163
42,53.57746841,14.00840152,64.32882184,11.75262468
7,9.028977005,51.83296524,45.82528905,64.92103021
50,83.53024956,87.73730719,54.56167893,74.60448793
7,32.0780065,74.07686178,94.14648088,58.33687651
17,18.65185104,69.7015741,38.61026378,96.21725485
25,4.077514155,70.2484084,96.11905638,37.48705795
21,59.08929432,35.94911512,90.5350642,28.57120863
47,67.75643618,29.35918443,19.57911348,86.85991282
44,1.658782893,80.93611555,6.936130088,22.35958385
26,51.20930583,81.01133947,10.07780014,96.32225394
3,22.64957752,86.70723186,1.822182565,1.215447469
50,64.51727904,91.32405526,9.444296076,96.98788267
50,17.4366429,51.13423989,68.30067734,4.315991195
40,69.09377381,50.15162947,7.118864846,89.11431137
38,38.67353463,79.8295179,31.89756303,52.77011091
50,93.67299887,64.99639308,84.4875311,99.29647961
28,13.75209441,70.19668773,2.327193574,7.379656474
35,34.10663511,79.57926694,81.44684826,55.38542844
50,11.34735212,89.00053418,28.18547748,96.93025356
25,92.46936183,33.79951569,11.81648276,52.30978442
39,87.73393534,37.55829526,69.67371654,62.93986381
10,25.79416277,9.398193984,62.89428468,69.5748689
4,65.9984046,57.8280141,87.74720135,45.45410648
50,81.72222002,3.59422738,73.50710438,62.75580801
50,55.52008116,46.55980181,80.34809304,58.43143119
34,52.96505784,54.26446347,28.20345726,90.11580105
49,24.18522909,28.65412521,17.74395438,4.544638034
50,9.310276781,59.08332606,75.06147516,28.09631896
8,89.7215758,3.050024994,80.68347393,95.04114841
20,90.04180572,3.734818875,99.0505142,89.02637839
9,63.31014573,82.26005607,41.26176769,45.56567528
37,33.9029791,36.01906414,37.20180858,62.01325978
42,34.92095746,12.70605127,77.64129607,27.7381183
2,72.59556789,52.22432601,34.08035403,18.81211597
36,89.711026,76.99935531,93.07573256,46.36984049
9,88.70864243,21.58210275,85.84127518,35.3352228
12,77.98755459,62.28904758,42.89940274,58.36561119
45,64.20316462,8.534746499,75.08710678,7.773463696
24,8.4139965,5.168172117,75.45428741,97.43948077
1,16.16287141,53.13546316,10.31238688,98.62107445
22,89.85541885,54.06351216,90.25529067,69.8161714
40,60.64290597,63.74299015,50.52523724,53.60963663
50,0.919705162,72.60913337,82.64574661,30.95276163
15,10.14715429,97.58520795,32.0049601,81.37950197
50,66.35017691,51.63003483,89.55232285,68.47311726
14,0.506158385,32.29564729,38.92016787,16.26169393
4,16.08080514,79.51861948,1.083765148,91.09271845
41,54.87337894,27.08322513,90.53819764,82.25372429
18,69.18951977,43.89714207,9.128667679,94.97999133
44,65.19612595,7.845638134,31.93136376,72.57195084
36,22.42693095,2.535074342,95.00619671,61.34151959
2,71.21792213,96.26484147,95.06071469,41.82430363
50,23.72490875,83.59801205,57.34378881,93.27284834
45,32.53996982,69.59742061,63.18372122,86.60638895
50,74.64914051,40.89529444,44.8445522,4.521867011
50,64.9632899,17.32943201,29.32107717,2.63669745
50,84.92234105,15.64370427,32.86645454,37.64633669
44,65.76128923,25.02428982,67.25184561,81.05533308
50,56.83086033,54.92266647,75.23745294,98.72761293
44,9.367476783,71.45959227,79.15790437,15.04168911
21,36.77158031,66.01973767,78.96181428,59.41307154
50,26.52023677,27.99338969,9.120610305,38.08908566
28,24.39896434,95.48652807,49.44203047,96.99143978
47,97.30105548,73.78969167,5.755876002,84.21189231
15,39.30977247,55.43540525,54.95288823,83.83287047
29,89.20465552,61.17207462,44.15305014,46.86931598
8,63.1138626,41.96000624,88.77041828,41.48195023
11,79.48113035,24.77309895,35.09150126,27.34070719
50,50.26370931,35.59726787,11.70670164,5.637549665
45,57.69038846,75.78461105,14.29916821,86.47223763
50,49.25176938,1.439348863,76.15106317,81.29010091
50,19.52429878,11.60726405,61.82180633,99.97176733
18,72.24521153,4.600264202,10.11226761,99.66368371
23,28.07723624,4.072880232,8.410680611,55.54317056
50,2.431596643,85.5460584,70.09691315,76.89874152
